siren,siret,denominationUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,indiceRepetitionDernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,libellePaysEtranger2Etablissement,etatAdministratifEtablissement,enseigne1Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,Adresse pr�cise
490192424,49019242400029,,,96.02B,,75,,,,,C AV DE LA REPUBLIQUE,33380,MIOS,,,33284,,,,,,,,,A,ESCALE BEAUTE,,96.02B,75 C AV DE LA REPUBLIQUE 33380 MIOS
490194065,49019406500028,,,96.02B,,15,,,,RUE,DE L'OEUILLE,33410,CADILLAC-SUR-GARONNE,,,33081,,,,,330810140_B,436669.14,6398708.54,,A,,HARMONIE INSTITUT,96.02B,15 RUE DE L'OEUILLE 33410 CADILLAC-SUR-GARONNE
490280856,49028085600033,,,96.02B,,15,B,,,AVENUE,DU LAC,33460,ARSAC,,,33012,,,,,330120122_B,408836.9672090693,6440075.9925853405,,A,LB ONGLES,,96.02B,"15, B AVENUE DU LAC 33460 ARSAC"
490364650,49036465000021,MARMANDE INSTITUT,,96.02B,,101,,,,RUE,DE L'EGLISE,33190,FONTET,,,33170,,,,,331700008_B,459519.25,6389460.97,,A,,,96.02B,101 RUE DE L'EGLISE 33190 FONTET
490425568,49042556800055,,,96.02B,,16,,,,PLACE,DE LA LIBERATION,33710,BOURG,,,33067,,,,,330670175_B,419847.36897994706,6444124.13825436,,A,L'ANTRE DES SOEURCIERES,EMMANEWAILE,96.02B,16 PLACE DE LA LIBERATION 33710 BOURG
490554615,49055461500024,GAMBETTA,,96.02B,,3,C,,,AVENUE,DE BINGHAMTON,33260,LA TESTE-DE-BUCH,,,33529,,,,,335290342_B,371983.61621774244,6399377.235895679,,A,EPIL STORY,,96.02B,"3, C AVENUE DE BINGHAMTON 33260 LA TESTE-DE-BUCH"
490757317,49075731700055,,,96.02B,APPT 12,8,,,,ALLEE,PISSARRO,33600,PESSAC,,,33318,,,,,333182735_B,409860.54,6418083.59,,A,,RUBI ONGLERIE MASSAGE,96.02B,APPT 12 8 ALLEE PISSARRO 33600 PESSAC
490842028,49084202800014,CYBEL ESTHETIQUE,,96.02B,,30,,,,ROUTE,DE BAYONNE,33830,BELIN-BELIET,,,33042,,,,,330420020_B,398678.72850371944,6384196.008415449,,A,,,96.02B,30 ROUTE DE BAYONNE 33830 BELIN-BELIET
491092748,49109274800012,,,96.02B,,16,,,,AVENUE,DE LA LIBERATION,33380,MIOS,,,33284,,,,,332840072_B,387776.6705369698,6397369.48250812,,A,BIO' TY LILI,,96.02B,16 AVENUE DE LA LIBERATION 33380 MIOS
491215190,49121519000027,,,96.02B,,4,,,,PASSAGE,ALEXIS LABRO,33130,BEGLES,,,33039,,,,,330390101_B,418030.62431582995,6416346.23068723,,A,,,96.02B,4 PASSAGE ALEXIS LABRO 33130 BEGLES
