siren,siret,denominationUniteLegale,denominationUsuelle1UniteLegale,activitePrincipaleUniteLegale,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,indiceRepetitionDernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,libellePaysEtranger2Etablissement,etatAdministratifEtablissement,enseigne1Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,Adresse précise
890393911,89039391100015,,,56.30Z,,365,,,,ROUTE,DU TRIEUX,24360,CHAMPNIERS-ET-REILHAC,,,24100,,,,,241000665_B,523365.9346221485,6510627.103897814,,A,LA HARPE,,56.30Z,365 ROUTE DU TRIEUX 24360 CHAMPNIERS-ET-REILHAC
891606709,89160670900014,CRYSTAL&SYLVER,,56.30Z,,20,,,,CHEMIN,DES CHAUPRES,24210,AJAT,,,24004,,,,,240040180_B,544105.9950976581,6452800.534446906,,A,O' ST CANTEREAU,,56.30Z,20 CHEMIN DES CHAUPRES 24210 AJAT
892258005,89225800500016,SECOND CHANCE PRODUCTIONS,,56.30Z,,29,,,,PLACE,GAMBETTA,24500,EYMET,,,24167,,,,,241670060_B,493661.04743528983,6399863.899253012,,A,,,56.30Z,29 PLACE GAMBETTA 24500 EYMET
893192757,89319275700019,TAMSLEY,,56.30Z,,,,,,,LE BOURG,24550,CAMPAGNAC-LES-QUERCY,,,24075,,,,,24075B011_C,,,,A,LE CAUSSE,LE CAUSSE,56.30Z, LE BOURG 24550 CAMPAGNAC-LES-QUERCY
894751213,89475121300030,O BISON,,56.10A,,17,,,,AVENUE,DE LA PREHISTOIRE,24620,LES EYZIES,,,24172,,,,,241720115_B,543273.98,6428283.54,,A,L'ESCALE DE LA GRIGNOTIERE,L'ESCALE DE LA GRIGNOTIERE,56.30Z,17 AVENUE DE LA PREHISTOIRE 24620 LES EYZIES
895405066,89540506600013,JP24,,56.30Z,,38,,,,RUE,GAMBETTA,24220,SAINT-CYPRIEN,,,24396,,,,,243960119_B,545471.4727131766,6420806.885445076,,A,LE CAFE DE LA TRAVERSE,,56.30Z,38 RUE GAMBETTA 24220 SAINT-CYPRIEN
897447694,89744769400026,LA BASTIDE D'EYMET,,56.30Z,,,,,,,ANGLE DE LA RUE DU PONT DE JUILL,24500,EYMET,,,24167,,,,,,,,,A,CAFE DE PARIS,,56.30Z, ANGLE DE LA RUE DU PONT DE JUILL 24500 EYMET
897966750,89796675000019,,,56.30Z,,26,,,,RUE,DUGUESCLIN,24100,BERGERAC,,,24037,,,,,240371570_B,501422.73158117675,6419857.393046202,,A,LE TAROT,LE TAROT,56.30Z,26 RUE DUGUESCLIN 24100 BERGERAC
898057518,89805751800018,,,56.30Z,,169,,,,RUE,VALETTE,24100,BERGERAC,,,24037,,,,,240374660_B,500256.52815728984,6420912.449690142,,A,LE BISTROT,,56.30Z,169 RUE VALETTE 24100 BERGERAC
898214630,89821463000011,BIENVENUE,,56.30Z,,4,,,,ALLEE,D'AQUITAINE,24000,PERIGUEUX,,,24322,,,,,243220280_B,520780.48558949475,6456495.086244299,,A,,BIENVENUE,56.30Z,4 ALLEE D'AQUITAINE 24000 PERIGUEUX
