siren,siret,denominationUniteLegale,denominationUsuelle1UniteLegale,activitePrincipaleUniteLegale,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,indiceRepetitionDernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,libellePaysEtranger2Etablissement,etatAdministratifEtablissement,enseigne1Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,Adresse précise
881114045,88111404500019,N HAIR COIFFURE,,96.02A,,59,,,,PLACE,DES GABARRIERS,24250,CASTELNAUD-LA-CHAPELLE,,,24086,,,,,24086anic_B,553906.76,6414434.89,,A,,,96.02A,59 PLACE DES GABARRIERS 24250 CASTELNAUD-LA-CHAPELLE
881213441,88121344100010,LE COIFFEUR DE LA GARE,,96.02A,,1,,,,AV,DU 108 EME RI,24100,BERGERAC,,,24037,,,,,240370985_C,,,,A,,,96.02A,1 AV DU 108 EME RI 24100 BERGERAC
881747802,88174780200018,,,96.02A,RUE RENE CASSIN,702,,,,RUE,RENE CASSIN,24200,SARLAT-LA-CANEDA,,,24520,,,,,245202079_B,560086.3908187606,6420460.351919804,,A,,HAIR COIFFURE,96.02A,RUE RENE CASSIN 702 RUE RENE CASSIN 24200 SARLAT-LA-CANEDA
882089774,88208977400013,,,96.02A,,478,,,,RTE,DE LESCURETIE,24130,EYRAUD-CREMPSE-MAURENS,,,24259,,,,,,,,,A,,,96.02A,478 RTE DE LESCURETIE 24130 EYRAUD-CREMPSE-MAURENS
882217391,88221739100011,A L' IMAGE DE SOI,,96.02A,,25,,,,RUE,DE PARIS,24260,LE BUGUE,,,24067,,,,,240670135_B,536402.4059697781,6426613.035234111,,A,,A L IMAGE DE SOI,96.02A,25 RUE DE PARIS 24260 LE BUGUE
882251325,88225132500016,,,96.02A,,1,,,,BOULEVARD,DE LA RESISTANCE,24150,LALINDE,,,24223,,,,,242230170_B,521100.9388072847,6417763.088783795,,A,,LE MIROIR DE LI LO,96.02A,1 BOULEVARD DE LA RESISTANCE 24150 LALINDE
882558901,88255890100014,,,96.02A,,,,,,,LE BOURG,24240,SIGOULES-ET-FLAUGEAC,,,24534,,,,,,,,,A,ANAIS COIFFURE,,96.02A, LE BOURG 24240 SIGOULES-ET-FLAUGEAC
884076845,88407684500012,,,96.02A,,9,,,,RUE,LOUIS CHARLES DELESCLUZE,24660,COULOUNIEIX-CHAMIERS,,,24138,,,,,241380892_B,518026.0166622992,6453790.857738327,,A,,GINA PAUSE COIFFURE A DOMICILE,96.02A,9 RUE LOUIS CHARLES DELESCLUZE 24660 COULOUNIEIX-CHAMIERS
884148313,88414831300015,,,96.02A,PLACE DE LA LIBERTE,,,,,,LE BOURG,24260,CAMPAGNE,,,24076,,,,,24076yxd6pl_B,539530.2188839832,6425176.197238101,,A,MAGNAC VIRGINIA EIRL,LES CISEAUX DE VIRGINIA,96.02A,PLACE DE LA LIBERTE  LE BOURG 24260 CAMPAGNE
887702835,88770283500018,[ND],[ND],96.02A,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],ANTONNE-ET-TRIGONANT,,[ND],24011,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],96.02A, ANTONNE-ET-TRIGONANT
